"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.1000000000000000e+01;2.4709999999999999e-02;-4.6750000000000000e-02;1.0045999999999999e-01;8.7910000000000002e-02;5.1599999999999997e-03;1.7285000000000000e-01;-2.3460000000000002e-02;-9.8190000000000000e-02;5.4690000000000003e-02;7.9712000000000005e-01;7.7412999999999998e-01;8.2062000000000002e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.1000000000000000e+01;6.4897654095877153e-02;5.6238159789711945e-02;7.4806667429926060e-02;1.0711112753327609e-01;9.8337896154011936e-02;1.1570761615009321e-01;-1.9076442699759017e-03;-1.0252237050057957e-02;7.3291356236966834e-03;8.1338652352978036e-01;8.0999042553363521e-01;8.1663963344314972e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.1000000000000000e+01;6.9318242703699240e-02;5.9367413658697805e-02;7.9728174910463620e-02;1.1167031152225679e-01;1.0093152744940380e-01;1.2248737883190021e-01;-1.9125314385273267e-03;-1.0976600446879871e-02;8.2184160130484227e-03;8.0868378257084672e-01;8.0522205653433276e-01;8.1181523234314512e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.1000000000000000e+01;6.1460355485663802e-02;5.1656223357049634e-02;7.1319105013879946e-02;1.2271621139578009e-01;1.1304490284720517e-01;1.3155924119750764e-01;-2.2086742254005249e-03;-1.2402743568354900e-02;7.5505350170813222e-03;8.0383951731363812e-01;8.0023253451874476e-01;8.0766657532878960e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;1.1000000000000000e+01;4.3362015327329084e-02;-2.2143890333702315e-02;1.2079397560195652e-01;9.7412551866955854e-02;2.5999757901708574e-02;1.7039845703347128e-01;-8.7377576483172199e-03;-7.4928392591326595e-02;6.7902276174721984e-02;8.1130552867197925e-01;7.9120884157526250e-01;8.3350896090557269e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;1.1000000000000000e+01;3.6514702481020810e-02;-3.7758944032517443e-02;1.0358416029485511e-01;9.3365526386858286e-02;1.8077241120924823e-02;1.5983750109891801e-01;-1.5699218393389214e-02;-9.1485798686168712e-02;5.1825022726767631e-02;8.0596478456078169e-01;7.8503904444594030e-01;8.2857878219620007e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;1.1000000000000000e+01;2.4223291739689332e-02;-4.1868067208147522e-02;1.0854615412859170e-01;9.9313664686602854e-02;3.4634189997870719e-02;1.7251242767494010e-01;-1.7979961678454056e-02;-8.3886525156741734e-02;6.1830939973308914e-02;7.9887115613131177e-01;7.7423817907542003e-01;8.1867716004144520e-01
