"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;3.4000000000000000e+01;7.6600000000000001e-03;-5.0549999999999998e-02;7.3480000000000004e-02;7.1700000000000002e-03;-5.0459999999999998e-02;7.0989999999999998e-02;4.1342000000000001e-01;3.5361999999999999e-01;4.7793000000000002e-01;5.6076000000000004e-01;5.0156000000000001e-01;6.1882000000000004e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;3.4000000000000000e+01;2.4202129098736505e-03;-8.3117516564725422e-03;1.3192156319665527e-02;-1.4145457345083768e-03;-1.2015073534455892e-02;9.0265924413101550e-03;3.5852413069864481e-01;3.4763622508312436e-01;3.6647946705102857e-01;6.0503417500480605e-01;5.9822872126769500e-01;6.1215738602343372e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;3.4000000000000000e+01;2.0986867430793929e-03;-9.0172926207838962e-03;1.2464664223468331e-02;-1.3592338958043401e-03;-1.2326152146741183e-02;8.7711410977954068e-03;3.5483106750871535e-01;3.4642665382707422e-01;3.6420027446775138e-01;6.1685003423334184e-01;6.1042555879909122e-01;6.2238044399090475e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;3.4000000000000000e+01;2.1273409151356241e-03;-7.2126442305243997e-03;1.1222381849218062e-02;-4.3201402689430415e-04;-9.7096625720518408e-03;8.4869434839899699e-03;3.8298784891221005e-01;3.7353509463756424e-01;3.9133312333166820e-01;5.8366355187272956e-01;5.7660481194650104e-01;5.9094107687173814e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;3.4000000000000000e+01;1.0568320191026473e-02;-6.3008788812436101e-02;8.7990154923334257e-02;1.5696607733935993e-02;-5.2404016817819678e-02;8.8460839528105253e-02;3.7168487729867677e-01;3.0980847776173992e-01;4.3270177671193122e-01;6.1979861940628267e-01;5.6625828380825416e-01;6.6544006254429222e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;3.4000000000000000e+01;1.3440770925948239e-02;-5.4131109507078175e-02;6.6586299044100808e-02;1.4159977571750120e-02;-4.7682098228071373e-02;6.2115485713785452e-02;3.6524678435543101e-01;3.0712182036538860e-01;4.2396450431499122e-01;6.2696801247235934e-01;5.8297974697764599e-01;6.7362657652781455e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;3.4000000000000000e+01;1.0693679364627933e-03;-6.7717246336313958e-02;7.5610972061022241e-02;9.4372005789936462e-03;-5.6405874998035621e-02;7.9973888946517052e-02;3.9916107803151590e-01;3.3219987622696967e-01;4.6045454522768831e-01;5.8811918031579058e-01;5.2967154391679727e-01;6.3966923058319758e-01
