"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.2000000000000000e+01;4.6289999999999998e-02;-2.1600000000000001e-02;1.1346000000000001e-01;3.5693000000000003e-01;3.0075000000000002e-01;4.2025000000000001e-01;-2.0109999999999999e-02;-8.5660000000000000e-02;4.8009999999999997e-02;5.2688999999999997e-01;4.7509000000000001e-01;5.7569000000000004e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.2000000000000000e+01;4.4665472287880641e-02;3.5047718383936319e-02;5.4967252628785372e-02;3.9982575001547138e-01;3.9192119522716912e-01;4.0849557708335521e-01;-4.0063901986365049e-04;-9.8312381301271026e-03;9.3719818290488345e-03;5.4657489923897296e-01;5.4025625009771694e-01;5.5324048657054437e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.2000000000000000e+01;5.2010823686130928e-02;4.2062076472380500e-02;6.3585829086299200e-02;3.8678790854993406e-01;3.7764401745489362e-01;3.9702176253899379e-01;9.5628800161389653e-04;-8.6558438608607575e-03;1.3338709624777055e-02;5.5575209467205422e-01;5.4996281818072934e-01;5.6195901489430400e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.2000000000000000e+01;5.2436475828763554e-02;4.2505202224037371e-02;6.1870578203692274e-02;4.0023337004219883e-01;3.9149768649156047e-01;4.0935901815858428e-01;3.0322565344314184e-04;-9.6475679822519769e-03;1.0347989943301853e-02;5.4520756775026036e-01;5.3778141693463133e-01;5.5222153009823693e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;1.2000000000000000e+01;4.0470178199728438e-02;-4.5939537375576933e-02;1.1556231077108406e-01;3.5691023656161003e-01;3.0314571891742992e-01;4.1946216602882103e-01;-1.4636416220278434e-02;-9.6856482530589497e-02;6.2658095139962455e-02;5.4236046128969861e-01;4.9286799503851397e-01;5.8127824328344269e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;1.2000000000000000e+01;4.5513845508115228e-02;-1.9771191412553974e-02;1.1690743754313909e-01;3.4474865088298301e-01;2.8853999180791318e-01;3.9946901157605869e-01;-1.7951364633928976e-02;-8.4081928919234813e-02;5.7206901515406888e-02;5.4653507055415340e-01;5.0143886842743157e-01;5.9360024342805862e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;1.2000000000000000e+01;4.0338281268928564e-02;-3.6942669681243719e-02;1.1170564982361392e-01;3.5336620703435601e-01;2.9340726749735363e-01;4.1170965787226260e-01;-2.3784983805932854e-02;-1.0468574309915034e-01;5.4845634348383993e-02;5.3855212081004578e-01;4.8667280046293160e-01;5.9115137413937369e-01
