"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;3.3000000000000000e+01;4.5749999999999999e-02;-4.3299999999999996e-03;1.0011000000000000e-01;2.0094999999999999e-01;1.4523000000000000e-01;2.6151999999999997e-01;5.7380000000000000e-02;-2.2599999999999999e-03;1.1489000000000001e-01;6.9216000000000000e-01;6.4426000000000005e-01;7.3546000000000000e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;3.3000000000000000e+01;7.5031919694069048e-03;-1.5844785848263259e-03;1.7295800242796321e-02;1.3420668713977488e-01;1.2543851994487359e-01;1.4420299295675115e-01;4.5254160862854796e-03;-5.0680733388541966e-03;1.5194373302232996e-02;8.1562883250719642e-01;8.1257541035372327e-01;8.1890042421610842e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;3.3000000000000000e+01;1.2213156052900360e-02;3.2046459157321671e-03;2.0849982499913763e-02;1.8260869340018387e-01;1.7346655284044238e-01;1.9266270493648716e-01;2.3595896332079598e-02;1.3963099027629175e-02;3.3200351379438824e-02;7.4068797301664491e-01;7.3641283099587540e-01;7.4507244747056101e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;3.3000000000000000e+01;2.3995318218473224e-02;1.5336942421626044e-02;3.3472900043331415e-02;1.8430612143439032e-01;1.7556458671719641e-01;1.9437567410486992e-01;3.2432439318078307e-02;2.2895527470291940e-02;4.2981129009120822e-02;7.3393729251377093e-01;7.2964629105963752e-01;7.3879819009932157e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;3.3000000000000000e+01;-7.7175084975498638e-03;-8.3678749186097023e-02;6.5657072580318193e-02;1.4041379637325374e-01;7.0406866880608793e-02;2.0895276588473571e-01;-1.2935386678473488e-02;-8.4787286215853519e-02;5.6765638959484437e-02;8.0020423201916502e-01;7.7955876114407530e-01;8.2091828719845683e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;3.3000000000000000e+01;3.2363483648082433e-02;-3.3048819160712395e-02;9.8432946744810484e-02;1.8798897112960553e-01;1.2843874061163585e-01;2.5092665329813180e-01;2.6561090058633462e-02;-3.5605064038625032e-02;9.4379343225216211e-02;7.2234368880765110e-01;6.8796744989413694e-01;7.5648744776445309e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;3.3000000000000000e+01;3.8655481699615531e-02;-2.5793560015385502e-02;1.0997864133493129e-01;1.8024499805816502e-01;1.2185469033641762e-01;2.3538016133023912e-01;3.2065374226625788e-02;-3.4005438311544046e-02;1.0209845084947893e-01;7.1625021587264392e-01;6.8302424413895158e-01;7.4699855121919478e-01
