"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.3000000000000000e+01;-6.8900000000000003e-03;-7.7609999999999998e-02;6.8709999999999993e-02;2.1093000000000001e-01;1.3300999999999999e-01;2.7901999999999999e-01;4.1900000000000000e-02;-2.7609999999999999e-02;1.1046000000000000e-01;6.2768999999999997e-01;5.8028000000000002e-01;6.7681999999999998e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.3000000000000000e+01;1.4655265067014908e-02;4.7026692364703403e-03;2.5768313189174379e-02;2.4756703613263775e-01;2.3759499443192025e-01;2.5784614387144561e-01;3.1970414107678417e-02;2.2204955334138386e-02;4.3295651246580441e-02;6.9901893557197881e-01;6.9371703084589387e-01;7.0457702412570744e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.3000000000000000e+01;3.8742260385159780e-02;2.9889438604888508e-02;4.8880553186954862e-02;2.3372366511226017e-01;2.2514696188874472e-01;2.4226826777900867e-01;5.7155394102494338e-02;4.7655942275626563e-02;6.6978441695567298e-02;6.6443944471427141e-01;6.5823784500073579e-01;6.7043324556424466e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.3000000000000000e+01;2.6969888532629813e-02;1.8219662214006043e-02;3.6514867083513321e-02;2.4028056592432773e-01;2.3087401170780608e-01;2.4944808436700236e-01;6.6464373613446315e-02;5.8576790879852680e-02;7.6452279112203744e-02;6.6483003492720549e-01;6.5988968547261773e-01;6.7114978238287759e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;1.3000000000000000e+01;-1.2323330653093269e-03;-7.8012951411268586e-02;7.4674713702167522e-02;2.0285173134293480e-01;1.3165909385975239e-01;2.7124823896155698e-01;1.1574876856442411e-02;-6.2537954770681109e-02;8.6793034511028572e-02;6.9388742794093894e-01;6.5170298155682183e-01;7.3036642569666976e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;1.3000000000000000e+01;1.2403896801178699e-02;-5.7587522908665034e-02;7.6635599139077831e-02;1.9322986260983252e-01;1.2442072329166712e-01;2.5731061726137583e-01;2.8557544995855621e-02;-4.0689452767474772e-02;9.1771711427254973e-02;6.4510930940023126e-01;6.0875635446803400e-01;6.7989913721066342e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;1.3000000000000000e+01;-2.8461399272435026e-03;-6.0093827060849161e-02;6.4979626283676026e-02;1.9887015774638120e-01;1.3383301164599926e-01;2.6968449460805644e-01;4.1377094403150683e-02;-1.6166364544165836e-02;1.0892907101683511e-01;6.4486561931854125e-01;5.9296568580262554e-01;6.9320191060393577e-01
