"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;8.2000000000000000e+01;7.7649999999999997e-02;8.9300000000000004e-03;1.4465000000000000e-01;4.0029999999999999e-01;3.3470000000000000e-01;4.5093000000000000e-01;2.4140000000000002e-02;-4.7739999999999998e-02;9.0690000000000007e-02;5.4225999999999996e-01;4.8577999999999999e-01;5.9850000000000003e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;8.2000000000000000e+01;4.1115937176683173e-03;-7.5984129115285633e-03;1.3960625684892026e-02;3.2245898755761643e-01;3.1375654074361814e-01;3.2935362715284849e-01;2.4327948891885421e-03;-9.1721448693880877e-03;1.2028100999397440e-02;6.4248089850058099e-01;6.3670438566858112e-01;6.4887118393516519e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;8.2000000000000000e+01;8.7566424572397220e-03;-1.6818557327180439e-03;1.9569300404414899e-02;3.6553372586681859e-01;3.5671391570276761e-01;3.7438980935723964e-01;1.6658653026974089e-03;-8.7735453072793537e-03;1.2192525159402893e-02;6.0077006986064097e-01;5.9385001666340775e-01;6.0541618901500882e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;8.2000000000000000e+01;3.1401884607420570e-02;2.1120690608661129e-02;4.0954698047871781e-02;3.8528371030391978e-01;3.7821266105702145e-01;3.9432878508407054e-01;2.9109250762684595e-04;-9.8478942624252597e-03;1.0157073500016132e-02;5.6370820226831775e-01;5.5762516405781271e-01;5.7024201680321640e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;8.2000000000000000e+01;2.4133280642046590e-02;-4.7383837327349777e-02;8.8416142040862136e-02;3.3304489745698579e-01;2.7336075989630942e-01;3.8924666152376364e-01;2.1130856861466246e-02;-5.1020681267320185e-02;8.5586381965063296e-02;6.4183818077825727e-01;6.0271704316430863e-01;6.7696010753045222e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;8.2000000000000000e+01;2.5963837758024216e-02;-5.2524828804400937e-02;9.8814951128968459e-02;3.7766290759644422e-01;3.1550742568741519e-01;4.3822171363969092e-01;1.7311521068944975e-02;-6.2296388547356987e-02;9.3076595395412451e-02;5.9332559367292492e-01;5.5409507221158460e-01;6.3616580097328912e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;8.2000000000000000e+01;5.9557711532157415e-02;-1.4772813088327398e-02;1.3520167867437938e-01;3.9993071958534498e-01;3.3632087065911181e-01;4.6446769693792378e-01;2.6770187830082139e-02;-5.5090764272246726e-02;1.0739223199470634e-01;5.6325429520755432e-01;5.1843707323220478e-01;6.0453647746940775e-01
