"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;8.0000000000000000e+00;3.3989999999999999e-02;-2.6579999999999999e-02;9.5159999999999995e-02;3.7341000000000002e-01;3.1079000000000001e-01;4.3193999999999999e-01;2.4600000000000000e-02;-3.2880000000000000e-02;8.3739999999999995e-02;6.4637000000000000e-01;6.0167999999999999e-01;6.8847999999999998e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;8.0000000000000000e+00;1.3336830236592887e-02;3.7266492444021936e-03;2.3800111291554883e-02;3.5837163719903298e-01;3.5095666010802123e-01;3.6696835157836133e-01;6.1096939420222304e-03;-3.3379090995023864e-03;1.6959059302191319e-02;6.1898444816001952e-01;6.1232429034667046e-01;6.2511086506508540e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;8.0000000000000000e+00;1.4398655055094117e-02;7.0088239069371165e-03;2.5195969775622024e-02;3.6500793885329147e-01;3.5739149759854788e-01;3.7408254961617515e-01;1.2154359999395771e-02;4.5930924280349937e-03;2.3435452726915044e-02;6.1205031495248241e-01;6.0654707666180796e-01;6.1836047045337561e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;8.0000000000000000e+00;1.2240096485212956e-02;1.8940132175162235e-03;2.2972715666937538e-02;3.4625386381757778e-01;3.3716909390496702e-01;3.5454331233938996e-01;1.3464438099184267e-02;3.1469083621934184e-03;2.4046427121853037e-02;6.3178177152119708e-01;6.2570461500665020e-01;6.3860307587434118e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;8.0000000000000000e+00;3.4919492327626388e-02;-3.5856082931141994e-02;9.5815320138507992e-02;3.7902832139634413e-01;3.1129709199666084e-01;4.3518380527396222e-01;2.1693291706962478e-02;-5.2475059268510933e-02;8.8977220691845924e-02;6.4807910815435432e-01;6.0487757430293154e-01;6.9026571728601205e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;8.0000000000000000e+00;3.7776496054517980e-02;-4.0377874963556042e-02;1.2055599584206653e-01;3.8156419337923225e-01;3.1728831865349011e-01;4.4365339732183517e-01;2.7648495351463024e-02;-5.5446735551726550e-02;1.0924711062566360e-01;6.4562075008738173e-01;6.0192634295464553e-01;6.8385588504270622e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;8.0000000000000000e+00;3.1771694406477126e-02;-3.3950800309852806e-02;1.1860861596017697e-01;3.6481257690474711e-01;3.0570691706550107e-01;4.3591634314583860e-01;2.3021694487327885e-02;-4.3096900280674900e-02;1.0911361455611976e-01;6.6234540397830866e-01;6.2205933562750970e-01;7.0343109904029555e-01
