"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;2.0200000000000000e+02;2.1700000000000001e-02;-5.1350000000000000e-02;8.2669999999999993e-02;3.4787000000000001e-01;2.8814000000000001e-01;4.1059000000000001e-01;-2.0129999999999999e-02;-8.7120000000000003e-02;4.1079999999999998e-02;5.8284000000000002e-01;5.3073999999999999e-01;6.2673000000000001e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;2.0200000000000000e+02;-1.6926624883023718e-03;-1.4615185481477421e-02;8.3577563639279824e-03;5.9701499636305488e-01;3.8459206944217661e-01;7.4548341361182047e-01;-9.5385208756010797e-04;-5.8942087166638417e-03;1.5334131529677912e-03;-9.5412614240828202e-04;-5.8602593298612959e-03;1.5401275274119037e-03
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;2.0200000000000000e+02;8.2434819691941722e-04;-1.6910375298648942e-03;3.4811363333018069e-03;4.1742647811435507e-01;3.0484500284577670e-01;5.8830451819982765e-01;1.7172745187453281e-03;-1.5462267327710272e-03;5.9058215981684968e-03;1.8194046743335919e-03;-1.4486402912634040e-03;6.0832701634580474e-03
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;2.0200000000000000e+02;1.6788555080910796e-02;7.3522761865824010e-03;2.6722968647524981e-02;2.5411892924196239e-01;2.4616572016594329e-01;2.6304916058343597e-01;2.7872516355696357e-03;-6.9554036934173615e-03;1.3070306435924316e-02;7.0718687569264604e-01;7.0280668564602877e-01;7.1132995773380558e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;2.0200000000000000e+02;2.4630442849472071e-02;-6.9488518138412199e-03;9.0113039616145391e-02;8.3724516600035825e-01;1.5530587157262324e-01;1.1668678022134424e+00;5.2221982196918558e-03;-8.9261146040670227e-03;3.4277603469628402e-02;5.3075846115233890e-03;-8.6795194344864140e-03;3.4144029283201184e-02
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;2.0200000000000000e+02;1.6359745653409992e-03;-2.6983350188523523e-02;2.8208780188225292e-02;4.9642052283084537e-01;3.6415032274886799e-01;7.4716043234543372e-01;8.6337050392914019e-03;-2.5150220782541644e-02;4.0246297490864918e-02;9.0710743401363064e-03;-2.3779360778708743e-02;4.0400795486463366e-02
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;2.0200000000000000e+02;-2.8055828713853558e-02;-1.0225837611863389e-01;5.2114648926629384e-02;2.2366141639663975e-01;1.6179481750003311e-01;2.9318424295295958e-01;-3.7962687700940939e-02;-1.1384887397321194e-01;4.2117225608828572e-02;6.7689101594404677e-01;6.4173269526062116e-01;7.1207067500283272e-01
