"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.4400000000000000e+02;1.9060000000000001e-02;-5.5210000000000002e-02;9.2929999999999999e-02;7.8139999999999998e-01;7.5229000000000001e-01;8.0705000000000005e-01;4.4350000000000001e-02;-3.5270000000000003e-02;1.2137000000000001e-01;1.8065000000000001e-01;1.1156000000000001e-01;2.5356000000000001e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.4400000000000000e+02;5.9707616225872003e-03;-4.1532888187275508e-03;1.6013363432229290e-02;8.2529580150557813e-01;8.2240513153835104e-01;8.2829098111175981e-01;2.7741066589215364e-03;-7.1970162148101320e-03;1.2773706172252108e-02;1.2328328294076391e-01;1.1264124235443528e-01;1.3335607888380119e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.4400000000000000e+02;3.3584764267176109e-03;-8.8342884389153511e-03;1.4464101435133415e-02;8.3731529736080512e-01;8.3446196044886845e-01;8.3992191677854666e-01;1.2506666393861190e-03;-1.0754250237861581e-02;1.2405017630437245e-02;1.3254256445589849e-01;1.2118682597659663e-01;1.4285397069042122e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.4400000000000000e+02;1.9010877504650448e-03;-9.2689602389202617e-03;1.2282344426963188e-02;8.3194534051921110e-01;8.2904261310108807e-01;8.3522948522991425e-01;-7.3044173492703489e-04;-1.1891158607865902e-02;9.5282823644569376e-03;1.5294378646964318e-01;1.4271015939008133e-01;1.6344791852807838e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;1.4400000000000000e+02;-7.2418808491752952e-03;-8.7303493802961527e-02;6.5184958350238117e-02;8.2127406347660759e-01;7.9823103052192834e-01;8.4381905756091746e-01;-9.3507703060246600e-03;-8.7986182859546541e-02;6.4053349010266117e-02;1.1366902304949549e-01;3.8753467868936298e-02;1.7911454806713709e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;1.4400000000000000e+02;-1.8292890253986838e-02;-8.3235149465279532e-02;5.7358187695564333e-02;8.2938307098351793e-01;8.0953899804092555e-01;8.5025241361752213e-01;-1.7354460876718939e-02;-8.3188042098471124e-02;5.9741683903345798e-02;1.1222810074226823e-01;4.8599878862206437e-02;1.7692063639415873e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;1.4400000000000000e+02;1.1498096690084493e-04;-6.2595825567426225e-02;7.4948260095361860e-02;8.2823086863292228e-01;8.0693164204387768e-01;8.4943933785351056e-01;-1.2124466797029173e-03;-6.6319926271438054e-02;7.3974371256649088e-02;1.5398497323834781e-01;8.6051490950243836e-02;2.2518154797485934e-01
