"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;7.0000000000000000e+00;3.0060000000000000e-02;-3.8379999999999997e-02;9.6030000000000004e-02;4.8904999999999998e-01;4.4274999999999998e-01;5.4332000000000003e-01;9.6799999999999994e-03;-5.8009999999999999e-02;7.3090000000000002e-02;4.7033000000000003e-01;4.1965000000000002e-01;5.2617999999999998e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;7.0000000000000000e+00;1.1600812360360641e-02;2.0228230216946621e-03;2.3218525110332844e-02;5.1051030047995438e-01;5.0356190089906827e-01;5.1862431241937945e-01;1.7136939387217001e-03;-8.0498787877522956e-03;1.3489431901993967e-02;4.7179190423528311e-01;4.6490056333380414e-01;4.7895394701820942e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;7.0000000000000000e+00;1.6598861461291668e-02;7.3013787573252761e-03;2.6245270641508889e-02;5.3971114009525956e-01;5.3205681883213241e-01;5.4710949743996284e-01;1.2590458511244102e-03;-8.1563751202203792e-03;1.0686721508699896e-02;4.3485380792502015e-01;4.2724515041722572e-01;4.4247509947103708e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;7.0000000000000000e+00;1.5813166074904534e-02;5.1912715653423831e-03;2.4965294294915709e-02;5.2562253257765501e-01;5.1735978390702153e-01;5.3340333686040597e-01;1.4361172014591644e-03;-9.0376469534249743e-03;1.0246349150039526e-02;4.4709791160911477e-01;4.3984295041250604e-01;4.5479483723275443e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;7.0000000000000000e+00;3.3673429287551453e-02;-2.7462013837473761e-02;1.0067214622202714e-01;4.8380488971837982e-01;4.2303562301545572e-01;5.2912188546801953e-01;1.9264093334664729e-02;-4.3446248103257284e-02;8.6419637884498052e-02;5.0501472143821646e-01;4.4599028221295339e-01;5.6199297450809182e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;7.0000000000000000e+00;3.1825581822934594e-02;-3.8872639002830014e-02;1.0289893485728073e-01;5.0707101355563888e-01;4.4995840447833252e-01;5.6550388975169008e-01;1.3178316032341073e-02;-6.0298853325093847e-02;8.2588809901331980e-02;4.6652640421390873e-01;4.0975794875888999e-01;5.2259870424318244e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;7.0000000000000000e+00;2.6882025601256701e-02;-4.0419872230125900e-02;9.2277361264065064e-02;4.8620856445079436e-01;4.3060289076300573e-01;5.3654959754435572e-01;9.3575208335763306e-03;-5.8503688550921258e-02;7.4453889424122691e-02;4.7551523021534808e-01;4.1447848291702266e-01;5.2811592084880699e-01
