"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;7.0000000000000000e+00;3.1199999999999999e-02;-3.7199999999999997e-02;9.7350000000000006e-02;4.9671999999999999e-01;4.5079000000000002e-01;5.5054999999999998e-01;1.0120000000000001e-02;-5.7410000000000003e-02;7.3539999999999994e-02;4.6278999999999998e-01;4.1188999999999998e-01;5.1917999999999997e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;7.0000000000000000e+00;1.2171858331298756e-02;2.5658562247350691e-03;2.3800648318124215e-02;5.1830409549562417e-01;5.1143259399119212e-01;5.2633275350153852e-01;1.8268701188095568e-03;-7.9168329986118603e-03;1.3582662149946115e-02;4.6351632654952257e-01;4.5651241937715975e-01;4.7077133300722035e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;7.0000000000000000e+00;1.7082530179615821e-02;7.7744616066302338e-03;2.6745498919824074e-02;5.4770938274649195e-01;5.4012924011850294e-01;5.5503048814950928e-01;1.3355300307071553e-03;-8.1099140030011767e-03;1.0807995525514659e-02;4.2638557417811590e-01;4.1870701050495551e-01;4.3407320498225227e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;7.0000000000000000e+00;1.6371300691213363e-02;5.7667832156116285e-03;2.5541172205300292e-02;5.3310539493495068e-01;5.2494427491243667e-01;5.4081916357503668e-01;1.5027448673532683e-03;-8.9271565529801759e-03;1.0309739930272037e-02;4.3904653133725507e-01;4.3171736550154266e-01;4.4678410169326338e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;7.0000000000000000e+00;3.4874633162042111e-02;-2.6468774203902899e-02;1.0195240286715776e-01;4.9195451818898961e-01;4.3174092809442571e-01;5.3695622332317006e-01;1.9759246630843209e-02;-4.3178849549853446e-02;8.6952737112769657e-02;4.9707568700883581e-01;4.3749829152712810e-01;5.5468925524829116e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;7.0000000000000000e+00;3.2792185700296086e-02;-3.8038177662371442e-02;1.0412051417114390e-01;5.1558637092229909e-01;4.5908587085450170e-01;5.7339810672130120e-01;1.3699389862835891e-02;-5.9957428184953872e-02;8.3372754142559499e-02;4.5834798467524157e-01;4.0124206749185048e-01;5.1487575734102242e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;7.0000000000000000e+00;2.7970121053948502e-02;-3.9617658221052315e-02;9.3457436654916848e-02;4.9422618915930089e-01;4.3921288328949715e-01;5.4409476616271346e-01;9.8256673552371415e-03;-5.7989142157913461e-02;7.4805145084940294e-02;4.6783145027647860e-01;4.0620215102710083e-01;5.2106470845754205e-01
