"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;3.4000000000000000e+01;1.2000000000000000e+01;2.0000000000000000e+01;-1.0000000000000000e+00;-2.3300000000000000e-03;-6.2420000000000003e-02;5.0680000000000003e-02;7.8388999999999998e-01;7.5463000000000002e-01;8.1484000000000001e-01;-5.7529999999999998e-02;-1.1432000000000000e-01;-7.6699999999999997e-03;4.5670000000000002e-02;-1.5480000000000001e-02;1.0306999999999999e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;3.4000000000000000e+01;1.2000000000000000e+01;2.0000000000000000e+01;7.8169900042379736e-01;5.9367030501573617e-02;4.8189282650105400e-02;6.9606052666749185e-02;8.3276048031871652e-01;8.2922656168639730e-01;8.3630094982295489e-01;-6.2775237681822135e-04;-1.1057329372584421e-02;9.5122330244447502e-03;8.1831187322203000e-02;7.0881846606969764e-02;9.2598200869921168e-02
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;3.4000000000000000e+01;1.2000000000000000e+01;2.0000000000000000e+01;7.8169900042379736e-01;9.0548757155099802e-02;8.2518553512164236e-02;1.0101508468852041e-01;7.9234871028043041e-01;7.8868497219801170e-01;7.9574070728613311e-01;-1.1813846606507016e-03;-9.2828633676890586e-03;8.7184131934228398e-03;1.0111279206151207e-01;9.2700470543370286e-02;1.1104725751988820e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;3.4000000000000000e+01;1.2000000000000000e+01;2.0000000000000000e+01;7.8169900042379736e-01;9.3736310157903846e-02;8.5298130365652189e-02;1.0318361135598811e-01;7.9746300916633828e-01;7.9345339982152374e-01;8.0106220798139327e-01;-2.8697339930501948e-03;-1.1435393956053738e-02;7.6455898053744220e-03;9.8180148906637829e-02;9.0166919578347535e-02;1.0829308430166000e-01
