"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.8000000000000000e+01;5.0000000000000000e+00;1.1000000000000000e+01;-1.0000000000000000e+00;2.5950000000000001e-02;-3.6609999999999997e-02;9.5469999999999999e-02;8.6280000000000001e-01;8.4597999999999995e-01;8.8283999999999996e-01;-1.6940000000000000e-02;-7.9140000000000002e-02;4.9320000000000003e-02;5.0670000000000000e-02;-1.2710000000000001e-02;1.1822000000000001e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.8000000000000000e+01;5.0000000000000000e+00;1.1000000000000000e+01;8.2514196646837890e-01;3.5916570300101251e-02;2.3819008383570171e-02;4.8442717868461209e-02;8.8127382614991789e-01;8.7876681157279846e-01;8.8333802326116317e-01;1.5772261988198639e-03;-1.0786122802848228e-02;1.4036744639197445e-02;7.4055659540482072e-02;6.2637699181633477e-02;8.6645080518818071e-02
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.8000000000000000e+01;5.0000000000000000e+00;1.1000000000000000e+01;8.2514196646837890e-01;4.0226468373839919e-02;2.8816367491636134e-02;5.0294632301616495e-02;8.9455630299395716e-01;8.9263367072252997e-01;8.9659532925383634e-01;1.5497352969977487e-03;-9.9319615987329343e-03;1.1293802390119539e-02;6.2372997389395189e-02;5.0339923275567577e-02;7.2714128036277012e-02
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.8000000000000000e+01;5.0000000000000000e+00;1.1000000000000000e+01;8.2514196646837890e-01;4.7187552541877377e-02;3.6356994587300656e-02;5.8222469344723124e-02;8.7431644757920024e-01;8.7147732587730431e-01;8.7682107283163191e-01;1.7122481244125072e-03;-8.3588773721266826e-03;1.2214312850478295e-02;7.5605355559953874e-02;6.5746440010118493e-02;8.5158379129991080e-02
