"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.0000000000000000e+01;4.0000000000000000e+00;4.0000000000000000e+00;-1.0000000000000000e+00;6.4099999999999999e-03;-5.1440000000000000e-02;6.8339999999999998e-02;9.7711999999999999e-01;9.7302999999999995e-01;9.8016999999999999e-01;9.7999999999999997e-03;-4.8360000000000000e-02;7.1410000000000001e-02;2.1579999999999998e-02;-3.6740000000000002e-02;8.4489999999999996e-02
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.0000000000000000e+01;4.0000000000000000e+00;4.0000000000000000e+00;9.7160990039545070e-01;-7.4791101976936338e-03;-1.7370163126093574e-02;4.4081662618352078e-03;9.8038915390902881e-01;9.8010678381930683e-01;9.8072113294566809e-01;-8.2091813128199707e-03;-1.8301468948614407e-02;3.5262770734391523e-03;5.6309915306546384e-03;-4.6943093351899650e-03;1.7587038663932342e-02
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.0000000000000000e+01;4.0000000000000000e+00;4.0000000000000000e+00;9.7160990039545070e-01;-7.9444353030805014e-03;-1.8643941038480185e-02;4.2840714157284928e-03;9.7860628234906133e-01;9.7821833281287629e-01;9.7899117529214541e-01;-8.3759248766782299e-03;-1.8980360609934816e-02;3.8389033912821220e-03;1.1057599577714385e-02;7.5105378359957206e-04;2.2521741491038572e-02
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.0000000000000000e+01;4.0000000000000000e+00;4.0000000000000000e+00;9.7160990039545070e-01;-8.1081165193990917e-03;-1.8592667510551792e-02;2.2462218186916909e-03;9.8018878090700601e-01;9.7980371421811541e-01;9.8060383619214808e-01;-7.9461866790342880e-03;-1.8364954472490154e-02;2.2886627638529096e-03;1.0187309487892367e-02;-4.8136712081952568e-04;2.0528598701669197e-02
