"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.6900000000000000e+02;8.4000000000000000e+01;8.3000000000000000e+01;-1.0000000000000000e+00;3.0040000000000001e-02;-5.9490000000000001e-02;1.2130000000000001e-01;8.6924000000000001e-01;8.5558999999999996e-01;8.8566999999999996e-01;-9.9500000000000005e-03;-9.9809999999999996e-02;8.4949999999999998e-02;8.7630000000000000e-02;-2.9199999999999999e-03;1.8459000000000000e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.6900000000000000e+02;8.4000000000000000e+01;8.3000000000000000e+01;-1.0874249471548580e-05;9.4823164476154024e-03;-1.0872882115023678e-02;7.5312358173338159e-02;5.0626822372857477e-04;-4.0108840098148729e-04;3.6109300013003371e-03;5.6840915167931093e-05;-5.6313478634288704e-04;1.7228439374583813e-03;5.9695920112052051e-05;-5.7293087912952810e-04;1.7528308173971143e-03
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.6900000000000000e+02;8.4000000000000000e+01;8.3000000000000000e+01;-1.0874249471548580e-05;2.5749566145581310e-01;2.1143460448584558e-01;3.1630203271205720e-01;4.3276216705531695e-02;2.9895886883472132e-02;5.5940717926747124e-02;6.1066262337508787e-04;-1.0307948509806640e-02;1.2916457456401475e-02;6.2636513389213581e-04;-1.0318292406368664e-02;1.2978540052120282e-02
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.6900000000000000e+02;8.4000000000000000e+01;8.3000000000000000e+01;-1.0874249471548580e-05;1.1324139622410844e-02;-7.6775098608419211e-03;4.0288916813958450e-02;1.4798253048670362e-04;-1.1712508257069897e-02;9.4998669966479977e-03;-1.2521525256961345e-03;-3.9277510519423386e-03;6.5825540892903306e-04;-1.2881262705150577e-03;-3.9073739877839827e-03;5.5060620964735582e-04
