"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;2.2000000000000000e+01;9.0000000000000000e+00;1.1000000000000000e+01;-1.0000000000000000e+00;2.0734000000000000e-01;1.3663000000000000e-01;2.7095000000000002e-01;5.6645000000000001e-01;5.1493999999999995e-01;6.0846000000000000e-01;-3.5099999999999999e-02;-1.0952000000000001e-01;3.7030000000000000e-02;1.1827000000000000e-01;4.7579999999999997e-02;1.7948000000000000e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;2.2000000000000000e+01;9.0000000000000000e+00;1.1000000000000000e+01;8.7188978599210376e-01;2.1651044706746669e-01;2.0753262809360093e-01;2.2633102195582006e-01;6.0215859027283947e-01;5.9672299342553281e-01;6.0804223079273556e-01;3.0714082553798369e-03;-6.5631702827176107e-03;1.3489687785963642e-02;1.6169058326465038e-01;1.5226989461507190e-01;1.7094722117690989e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;2.2000000000000000e+01;9.0000000000000000e+00;1.1000000000000000e+01;8.7188978599210376e-01;3.0645755177790596e-01;2.9675479200306049e-01;3.1449895919773807e-01;5.4856804348528909e-01;5.4219785127459086e-01;5.5382624198766772e-01;3.0761624737705670e-03;-7.0659484184540560e-03;1.2191581552311153e-02;1.4271711595709330e-01;1.3311107474218983e-01;1.5219600520241050e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;2.2000000000000000e+01;9.0000000000000000e+00;1.1000000000000000e+01;8.7188978599210376e-01;2.8263153028819360e-01;2.7461518158595793e-01;2.9031968446511092e-01;5.6774022110037092e-01;5.6098706826275790e-01;5.7431149029553741e-01;3.7426425137162423e-03;-5.3423543060961524e-03;1.4781522054427206e-02;1.4834720247224226e-01;1.3962501771586838e-01;1.5967462733050811e-01
