"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.4000000000000000e+01;6.0000000000000000e+00;6.0000000000000000e+00;-1.0000000000000000e+00;-1.9500000000000000e-02;-8.5120000000000001e-02;4.8980000000000003e-02;9.8570000000000002e-01;9.8209999999999997e-01;9.8834999999999995e-01;-2.3269999999999999e-02;-8.8969999999999994e-02;4.5350000000000001e-02;-2.4070000000000001e-02;-9.0660000000000004e-02;4.6690000000000002e-02
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.4000000000000000e+01;6.0000000000000000e+00;6.0000000000000000e+00;9.3329882784197316e-01;4.3714460963437821e-03;-6.2345592152604073e-03;1.4317713630516054e-02;9.8532278683125685e-01;9.8506918674174548e-01;9.8558001055389288e-01;-2.8490173793340396e-03;-1.3039308596664937e-02;6.8093931011025486e-03;5.6018117246422539e-04;-9.5985952992856186e-03;1.0221324847774079e-02
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.4000000000000000e+01;6.0000000000000000e+00;6.0000000000000000e+00;9.3329882784197316e-01;-1.1124170767215817e-03;-1.1242366865561423e-02;7.3458126626474813e-03;9.9222219407929080e-01;9.9205897680699340e-01;9.9236646116409111e-01;-4.5771512315861953e-03;-1.4495498728301725e-02;3.8584386886098567e-03;-3.3296352229441298e-03;-1.3217831016917763e-02;5.2975129908613711e-03
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.4000000000000000e+01;6.0000000000000000e+00;6.0000000000000000e+00;9.3329882784197316e-01;-1.5374347031149281e-03;-1.3283869000431811e-02;8.6615959394946047e-03;9.8885930362044261e-01;9.8857938537674839e-01;9.8917171720104780e-01;-4.3281348366677195e-03;-1.6014638985182007e-02;5.8119875887718709e-03;9.9133067277157533e-04;-1.0729826695457358e-02;1.0887453114481483e-02
