"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.2000000000000000e+01;6.0000000000000000e+00;4.0000000000000000e+00;-1.0000000000000000e+00;-3.4029999999999998e-02;-1.0042000000000000e-01;4.7250000000000000e-02;9.9524999999999997e-01;9.9455000000000005e-01;9.9585000000000001e-01;-3.3610000000000001e-02;-9.9250000000000005e-02;4.7640000000000002e-02;-3.3390000000000003e-02;-9.7939999999999999e-02;4.6390000000000001e-02
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.2000000000000000e+01;6.0000000000000000e+00;4.0000000000000000e+00;9.1210641893869360e-01;-2.6763312905358238e-03;-1.2212510951936442e-02;7.5010991002501934e-03;9.8913374836968770e-01;9.8891635572857062e-01;9.8936264361833504e-01;-3.9637293218742408e-03;-1.3382764519923363e-02;5.8052802937123933e-03;-2.7162196775762071e-03;-1.2048270515401744e-02;7.1555526914038273e-03
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.2000000000000000e+01;6.0000000000000000e+00;4.0000000000000000e+00;9.1210641893869360e-01;-4.3639895029242226e-03;-1.3165566580166765e-02;3.9337621151710501e-03;9.9447960257338630e-01;9.9435964033132829e-01;9.9460280743034690e-01;-5.0536091930714682e-03;-1.3756645696395328e-02;2.9702605182082469e-03;-2.5536426063835086e-03;-1.1145259008714957e-02;5.4052408371690012e-03
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.2000000000000000e+01;6.0000000000000000e+00;4.0000000000000000e+00;9.1210641893869360e-01;-5.4447032980903653e-03;-1.7193102912258819e-02;4.5083043504872819e-03;9.9611697042732017e-01;9.9603020458740421e-01;9.9621046083633824e-01;-5.6421329032650160e-03;-1.7380973339366380e-02;4.3761980666023820e-03;-3.3201940992327568e-03;-1.4994336680499631e-02;6.8496738523876263e-03
