"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;2.1000000000000000e+01;1.0000000000000000e+01;9.0000000000000000e+00;-1.0000000000000000e+00;5.6852000000000003e-01;5.2200999999999997e-01;6.1297000000000001e-01;1.6822999999999999e-01;9.9059999999999995e-02;2.2597000000000000e-01;-9.9200000000000000e-03;-8.1229999999999997e-02;5.9499999999999997e-02;2.0873000000000000e-01;1.4554000000000000e-01;2.7109000000000000e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;2.1000000000000000e+01;1.0000000000000000e+01;9.0000000000000000e+00;8.5325558573426141e-01;6.6562443897179979e-01;6.5976788172274092e-01;6.7068453144227558e-01;1.1103142603347761e-01;1.0052057691989169e-01;1.2032876525749811e-01;-9.4210361132345717e-03;-1.9723140802455734e-02;-6.7194390567211135e-05;1.8634633234838627e-01;1.7755076976822839e-01;1.9532672115793670e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;2.1000000000000000e+01;1.0000000000000000e+01;9.0000000000000000e+00;8.5325558573426141e-01;5.8439979569132916e-01;5.7763930082955550e-01;5.9042548751810842e-01;1.4739042823449755e-01;1.3617994312295637e-01;1.5797977892505385e-01;-1.0936822501055224e-02;-2.2501897299206330e-02;-6.8256055702551818e-04;2.3578728524876599e-01;2.2555793745025027e-01;2.4486306638325622e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;2.1000000000000000e+01;1.0000000000000000e+01;9.0000000000000000e+00;8.5325558573426141e-01;5.8364969118355359e-01;5.7731656507604878e-01;5.9001976666583089e-01;1.6121756312008551e-01;1.5147243413232944e-01;1.7167812527484000e-01;-1.0729184406250118e-02;-2.0878428848406249e-02;-3.0076455766755270e-05;2.2588232472546185e-01;2.1601253547432894e-01;2.3580510518865577e-01
