"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;2.9000000000000000e+01;1.2000000000000000e+01;1.5000000000000000e+01;-1.0000000000000000e+00;1.3435000000000000e-01;6.3479999999999995e-02;2.0935999999999999e-01;5.0824000000000003e-01;4.5588000000000001e-01;5.5549999999999999e-01;-3.9649999999999998e-02;-1.0652000000000000e-01;3.0700000000000002e-02;2.3896000000000001e-01;1.7802000000000001e-01;3.0265999999999998e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;2.9000000000000000e+01;1.2000000000000000e+01;1.5000000000000000e+01;6.6113370322644505e-01;1.7467368312925219e-01;1.6482359326563967e-01;1.8367648783656626e-01;5.1006370491262309e-01;5.0220305085856531e-01;5.1757622158951611e-01;-1.7442871184653048e-03;-1.1683569896744860e-02;6.2220905581123719e-03;2.5828890839310259e-01;2.4952129374542248e-01;2.6712356565557810e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;2.9000000000000000e+01;1.2000000000000000e+01;1.5000000000000000e+01;6.6113370322644505e-01;2.5380001405183944e-01;2.4509642441032137e-01;2.6261917040492094e-01;5.1156065746467949e-01;5.0488920058077980e-01;5.1827801135754692e-01;-6.2652172976393446e-03;-1.6479998653691250e-02;4.6308019980574079e-03;2.0358183061958821e-01;1.9468591120633805e-01;2.1478894270576310e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;2.9000000000000000e+01;1.2000000000000000e+01;1.5000000000000000e+01;6.6113370322644505e-01;2.3691751860150631e-01;2.2916515495822382e-01;2.4583722924314602e-01;5.1046934076040251e-01;5.0354986358776088e-01;5.1832871201697361e-01;-3.6220742582743310e-03;-1.2530353778995454e-02;6.9717449265274166e-03;2.3167450581708390e-01;2.2287640575921497e-01;2.4107277087795032e-01
