"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.2000000000000000e+01;5.0000000000000000e+00;5.0000000000000000e+00;-1.0000000000000000e+00;3.5260000000000000e-02;-3.1320000000000001e-02;9.8369999999999999e-02;2.2176000000000001e-01;1.5787000000000001e-01;2.7746999999999999e-01;-4.0960000000000003e-02;-1.0384000000000000e-01;2.0190000000000000e-02;6.3968000000000003e-01;5.9952000000000005e-01;6.8003999999999998e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.2000000000000000e+01;5.0000000000000000e+00;5.0000000000000000e+00;9.6824741619067733e-01;6.8266315833520580e-02;5.8954207962291151e-02;8.0449948986332717e-02;2.8739286314012169e-01;2.7857052343643057e-01;2.9740415368500289e-01;5.5375710979714489e-04;-9.2535324330962065e-03;1.2798848513386946e-02;6.3401135566281464e-01;6.2833895271134199e-01;6.4021388725632533e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.2000000000000000e+01;5.0000000000000000e+00;5.0000000000000000e+00;9.6824741619067733e-01;7.8134730102599692e-02;6.8121080290917763e-02;8.6714679571787245e-02;2.7119291006529789e-01;2.6178104957990961e-01;2.8054522660846243e-01;1.2168371295473322e-03;-8.9102280147104491e-03;1.0807599001895611e-02;6.4397677548488985e-01;6.3866793414000911e-01;6.4891664265054283e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.2000000000000000e+01;5.0000000000000000e+00;5.0000000000000000e+00;9.6824741619067733e-01;7.5420566584170262e-02;6.6250377702383761e-02;8.5976775839119418e-02;2.8122396060368826e-01;2.7135630143774997e-01;2.9076807493707302e-01;1.0801821832288926e-03;-8.6510860597332796e-03;1.2352928357945032e-02;6.4224846754098863e-01;6.3624500829609520e-01;6.4771240444653078e-01
