"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;2.8000000000000000e+01;1.5000000000000000e+01;1.1000000000000000e+01;-1.0000000000000000e+00;6.6976999999999998e-01;6.3195999999999997e-01;7.1423999999999999e-01;9.7019999999999995e-02;2.5010000000000001e-02;1.7302000000000001e-01;4.9619999999999997e-02;-2.1530000000000001e-02;1.2795000000000001e-01;1.2499000000000000e-01;6.5250000000000002e-02;1.9022000000000000e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;2.8000000000000000e+01;1.5000000000000000e+01;1.1000000000000000e+01;7.7056623060214757e-01;7.3866651388731452e-01;7.3369376298970990e-01;7.4337946087286300e-01;1.1765254287795246e-01;1.0650742820502550e-01;1.2694026410686801e-01;4.6548163357571530e-03;-6.9279409912720710e-03;1.3316605307000922e-02;1.1163618407738900e-01;1.0090326910533974e-01;1.2013635126916293e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;2.8000000000000000e+01;1.5000000000000000e+01;1.1000000000000000e+01;7.7056623060214757e-01;7.7364955516208833e-01;7.6963570875265419e-01;7.7772973982793348e-01;1.0403075338771409e-01;9.4439691512733542e-02;1.1410522633509916e-01;3.3480551415058669e-03;-6.4943933914403248e-03;1.3339990767415924e-02;1.1035495912329073e-01;1.0093589376112172e-01;1.1957172088229286e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;2.8000000000000000e+01;1.5000000000000000e+01;1.1000000000000000e+01;7.7056623060214757e-01;7.3273732029607741e-01;7.2843110746258932e-01;7.3756392223773126e-01;8.4723242132987070e-02;7.4762928396393605e-02;9.6130183216280973e-02;3.9317028430139359e-02;2.9470378422006754e-02;5.0230320206915383e-02;1.3996793663658288e-01;1.3049922527341370e-01;1.4981527405305214e-01
