"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;3.9000000000000000e+01;1.3000000000000000e+01;2.4000000000000000e+01;-1.0000000000000000e+00;3.3669999999999999e-02;-3.2989999999999998e-02;1.0287000000000000e-01;8.5802000000000000e-01;8.4101000000000004e-01;8.7553999999999998e-01;3.6440000000000000e-02;-3.0410000000000000e-02;1.0657000000000000e-01;1.6128000000000001e-01;9.0039999999999995e-02;2.1698999999999999e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;3.9000000000000000e+01;1.3000000000000000e+01;2.4000000000000000e+01;8.5784178536329958e-01;4.0075841184106036e-04;-1.0362691081938595e-02;1.0565142437959710e-02;8.7002323595396780e-01;8.6778658912068873e-01;8.7228395559803473e-01;2.4345228220689724e-04;-1.0755988260741214e-02;1.0363894699294121e-02;1.0993191262197381e-01;9.9202929780070725e-02;1.1964306985683794e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;3.9000000000000000e+01;1.3000000000000000e+01;2.4000000000000000e+01;8.5784178536329958e-01;3.1415284755246372e-03;-6.6582053682147152e-03;1.3724761521187574e-02;8.8445590404391272e-01;8.8264523045784138e-01;8.8638655747531059e-01;1.3875238331309547e-03;-8.3103199196052392e-03;1.2076788086189082e-02;1.0618069957444295e-01;9.6063044420335780e-02;1.1641453743991856e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;3.9000000000000000e+01;1.3000000000000000e+01;2.4000000000000000e+01;8.5784178536329958e-01;3.2293642130475086e-03;-7.1589179377761318e-03;1.2499480298893063e-02;8.6225261188744051e-01;8.5985312448857243e-01;8.6515775455296351e-01;1.3925757212390152e-03;-8.8180695403608442e-03;1.0742848117278636e-02;1.2913011383765741e-01;1.1929790332384563e-01;1.3758753188592612e-01
