"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.0000000000000000e+01;3.3809000000000000e-01;2.6939999999999997e-01;4.0349000000000002e-01;2.8464000000000000e-01;2.1912999999999999e-01;3.3442000000000000e-01;-1.7370000000000000e-02;-8.6879999999999999e-02;4.4790000000000003e-02;3.1985000000000002e-01;2.5697999999999999e-01;3.7403999999999998e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.0000000000000000e+01;3.4871840046772640e-01;3.4118246830795096e-01;3.5925838531919407e-01;3.2097763789789657e-01;3.1202605453518706e-01;3.2942593822868160e-01;-5.3912954867885313e-03;-1.6440371401645986e-02;4.2229324367740670e-03;3.0699930341294779e-01;2.9720297887231023e-01;3.1477345883530278e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.0000000000000000e+01;3.5494887985647755e-01;3.4616117660505208e-01;3.6340259313011347e-01;3.0030669590046399e-01;2.9051997179475497e-01;3.0931482022532730e-01;-4.3059888378494471e-03;-1.6408988748017540e-02;6.5738203209274081e-03;3.2829089455850857e-01;3.1752850130253135e-01;3.3839343619746398e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.0000000000000000e+01;3.5377602777203249e-01;3.4424229464933087e-01;3.6271152871971035e-01;3.1411565205856884e-01;3.0479169241336301e-01;3.2233341136753135e-01;-5.1345482761240039e-03;-1.5306180668887316e-02;3.6390938901248657e-03;3.1864915230267532e-01;3.1060528580018393e-01;3.2661643683363561e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;1.0000000000000000e+01;3.3831922639046269e-01;2.7967941960777332e-01;3.9422413389927780e-01;3.0945806680032334e-01;2.4764238903585076e-01;3.7762783815415429e-01;-1.1813038168589998e-02;-9.2972999828687175e-02;6.9181532955702299e-02;2.9620516346688586e-01;2.2274606786261364e-01;3.7270430541874999e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;1.0000000000000000e+01;3.4195286907012157e-01;2.8330204318582786e-01;4.0457192040002177e-01;2.7439855326339957e-01;2.1519642655917348e-01;3.4130301430347570e-01;-2.0900367850442948e-02;-8.7637149748020504e-02;4.6409725549273570e-02;3.2785976868817746e-01;2.6894694150821824e-01;3.8481608550226343e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;1.0000000000000000e+01;3.4042855740727745e-01;2.6902815416848203e-01;4.0263547439460246e-01;2.9098735967754569e-01;2.3034610095069713e-01;3.5533323596270933e-01;-2.0186246489443786e-02;-8.7823068921438346e-02;5.7777747783863360e-02;3.1166219153164093e-01;2.5303073433745910e-01;3.8111244286784091e-01
