"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.3100000000000000e+02;3.4625000000000000e-01;2.8489999999999999e-01;4.1858000000000001e-01;2.7760000000000001e-01;2.1922000000000000e-01;3.4499000000000002e-01;-4.2900000000000004e-03;-7.0090000000000000e-02;7.6359999999999997e-02;3.7068000000000001e-01;3.1389000000000000e-01;4.3509999999999999e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.3100000000000000e+02;1.5433770196754570e-01;1.2470991738379865e-01;1.9213866089831599e-01;2.4941660159880266e-02;8.8979828173079197e-03;4.1228185168278787e-02;-4.2419619462970371e-03;-1.3976974561641493e-02;5.3848365550751851e-03;-4.2169435828218185e-03;-1.3784289150561979e-02;5.2154482003584244e-03
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.3100000000000000e+02;3.4364024451273989e-01;3.3269273613699657e-01;3.5325384706994434e-01;2.7013191467311648e-01;2.6071559171608638e-01;2.7828225503138548e-01;-1.0293800099337603e-02;-2.1525592476728098e-02;-2.4266406558590245e-04;3.4134718881060111e-01;3.3336141801497576e-01;3.4987837529415827e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.3100000000000000e+02;3.3751041626015571e-01;3.2777799763821691e-01;3.4679882577679455e-01;2.6035915372102875e-01;2.5164992311268475e-01;2.6910879237694585e-01;-9.7182150710003554e-03;-1.9397266139881637e-02;1.5389777693724505e-03;3.5363411841984538e-01;3.4470787965450572e-01;3.6222920737619435e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;1.3100000000000000e+02;2.4270067595061759e-01;1.2819107918346639e-01;4.3244598350100971e-01;8.4878281362215334e-03;-3.1624919383429366e-02;6.0869233307630777e-02;4.2202419730870081e-03;-3.1205403619922578e-02;4.4544272797276838e-02;3.4023728897409206e-03;-3.0790359863612862e-02;4.3390550135468609e-02
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;1.3100000000000000e+02;3.5871472288461798e-01;2.8802231199210510e-01;4.1918181981538438e-01;2.7044797658253728e-01;2.0166587150281778e-01;3.3176013681938915e-01;2.7645253265647621e-03;-7.4546253209604729e-02;7.2411482895340454e-02;3.7738582070517945e-01;3.1602720430002668e-01;4.2619849074507032e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;1.3100000000000000e+02;3.5121570067531455e-01;2.8713205482341064e-01;4.0555603853021543e-01;2.6225211866282733e-01;2.0404748748940063e-01;3.1866451175108718e-01;-1.9009445355642649e-03;-7.3558724852563789e-02;6.0087101036036566e-02;3.8706291286473393e-01;3.1525311566907316e-01;4.4401456672106160e-01
