"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.2000000000000000e+01;-5.7290000000000001e-02;-1.1579000000000000e-01;3.1600000000000000e-03;-6.2750000000000000e-02;-1.1892000000000000e-01;-3.5999999999999999e-03;3.5591000000000000e-01;2.8842000000000001e-01;4.2247000000000001e-01;5.3771999999999998e-01;4.7860999999999998e-01;6.0585000000000000e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.2000000000000000e+01;8.2674418231323734e-03;-7.7761892563206914e-04;1.7923324816588523e-02;8.2341408608194999e-03;-1.0359709017182387e-03;1.7715723193122548e-02;3.1980361534376844e-01;3.1178633014677248e-01;3.2963226951522195e-01;6.4278023062863887e-01;6.3696425619313579e-01;6.4776835837180402e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.2000000000000000e+01;1.1047727408007375e-02;2.5724739087759304e-04;2.0326655708353909e-02;1.3291919477034800e-02;2.5329016264374338e-03;2.2847700690619366e-02;3.4312721278701941e-01;3.3341198896977681e-01;3.5117965210438928e-01;6.2028604919289387e-01;6.1365215548331065e-01;6.2740751901201708e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.2000000000000000e+01;1.3133295726073019e-02;5.1628581270022206e-03;2.2587169427039269e-02;1.0537125072247636e-02;2.0800575674069896e-03;2.0552124447743049e-02;3.9908840410404878e-01;3.9028430000504744e-01;4.0974879636937556e-01;5.6715292969574349e-01;5.5971525607121209e-01;5.7392844926101672e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;1.2000000000000000e+01;-6.1097427734618737e-02;-1.2472575598870132e-01;2.8870923584450193e-03;-6.3677232233463776e-02;-1.2601051974487112e-01;4.5469546199566457e-03;2.5479616221488188e-01;1.9399059988682205e-01;3.1656266948087375e-01;6.4476507731914523e-01;5.9974280937182256e-01;6.8557416076166078e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;1.2000000000000000e+01;-5.0847253032120010e-02;-1.1901069438978597e-01;1.6089451604964378e-02;-5.4580633106957391e-02;-1.2196195642253499e-01;1.4238701543050148e-02;2.8171603110414939e-01;2.0353617926631951e-01;3.4806073979297286e-01;6.2214551624909420e-01;5.7368984454810468e-01;6.7408230881092612e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;1.2000000000000000e+01;-5.6172127146236164e-02;-1.2681864766632203e-01;9.9550074414844793e-03;-6.1854686632585226e-02;-1.3015327457504033e-01;6.3378447663032774e-03;3.4241859300658134e-01;2.7095817502976133e-01;4.1446575298065963e-01;5.6512849712655655e-01;5.1074470429781860e-01;6.1584658811802473e-01
