"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;1.5000000000000000e+01;1.6558000000000000e-01;8.6029999999999995e-02;2.4057000000000001e-01;2.8282000000000002e-01;2.2473000000000001e-01;3.5017999999999999e-01;8.9999999999999993e-03;-5.9270000000000003e-02;8.3870000000000000e-02;5.6040999999999996e-01;5.1688000000000001e-01;6.1036999999999997e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;1.5000000000000000e+01;1.6803069067715082e-01;1.5843897170889407e-01;1.7961024244925322e-01;2.6555829069240783e-01;2.5507075479600716e-01;2.7637840990907325e-01;1.3742512017858972e-03;-9.1114725781729425e-03;1.2644149045627049e-02;5.4843635661432555e-01;5.4207777693761772e-01;5.5415853301007811e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;1.5000000000000000e+01;1.8208136651451171e-01;1.7245231991980828e-01;1.9070256191440957e-01;2.6852646851689266e-01;2.5909045111295637e-01;2.7776027158912253e-01;1.6139037383088499e-03;-8.4521054308212395e-03;1.0653632169003160e-02;5.4928804988024604e-01;5.4342117299453407e-01;5.5602968206304559e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;1.5000000000000000e+01;1.9114262901357448e-01;1.8260182425206084e-01;2.0035046379908950e-01;2.7015626984914781e-01;2.6093822972408409e-01;2.7866633103298094e-01;9.8503207862676162e-04;-8.7942986687438041e-03;1.0902996343388194e-02;5.4032153929033910e-01;5.3321453163826138e-01;5.4708349424879177e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;1.5000000000000000e+01;1.5226432031513737e-01;9.3271821965388566e-02;2.2467797304636919e-01;2.6335705359905048e-01;1.9555138305035405e-01;3.2113104204904691e-01;5.3952116616267625e-03;-6.7235049811647796e-02;8.0555021537572630e-02;5.6923685951164327e-01;5.2514614998028897e-01;6.1047838296070900e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;1.5000000000000000e+01;1.6579925924956765e-01;8.9883048429889326e-02;2.3049039262093524e-01;2.7912370474227821e-01;2.1964586828856178e-01;3.4211979236236501e-01;1.7162318182325310e-02;-5.9827864776401174e-02;8.7423299875123678e-02;5.7199085494036905e-01;5.2596137501353157e-01;6.2417662646161087e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;1.5000000000000000e+01;1.6152260641934807e-01;8.7725887670270369e-02;2.4311738439777522e-01;2.8014124447025407e-01;2.2547329727241522e-01;3.4899525355049194e-01;1.0367507246208711e-02;-6.0628011078134286e-02;9.3479811352713590e-02;5.6037570407744275e-01;5.1477488100182467e-01;6.0448581859545658e-01
