"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;6.0000000000000000e+00;9.5800000000000000e-03;-6.6400000000000001e-02;8.5139999999999993e-02;8.3043999999999996e-01;8.0571999999999999e-01;8.5238000000000003e-01;2.9729999999999999e-02;-5.0869999999999999e-02;1.0656000000000000e-01;1.4216000000000001e-01;7.8430000000000000e-02;2.1279000000000001e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;6.0000000000000000e+00;1.1409377015372901e-02;1.6211685097061864e-03;2.1959014419605186e-02;7.9976265656510903e-01;7.9678336540621231e-01;8.0324883724722451e-01;3.3737372273814965e-02;2.4108771110494923e-02;4.4184931237229337e-02;1.6421217075518454e-01;1.5416178521728893e-01;1.7423102496758802e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;6.0000000000000000e+00;1.3317793360072829e-02;4.3441120017490061e-03;2.1826978945786935e-02;8.1800772272713462e-01;8.1436984768636722e-01;8.2149562262147990e-01;3.3480364502156294e-02;2.5049424007111392e-02;4.2691456247413072e-02;1.4598707328036789e-01;1.3785453056712760e-01;1.5434175025105679e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;6.0000000000000000e+00;1.4893996534721879e-02;4.7395708439210192e-03;2.3294640654050597e-02;8.3510294802740803e-01;8.3204004692746736e-01;8.3804623979874016e-01;2.6548628913550643e-02;1.6283708435621845e-02;3.5339100746088516e-02;1.3555200949196039e-01;1.2682999281956153e-01;1.4310564606445905e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;6.0000000000000000e+00;5.3125326299754251e-03;-6.5479614901403513e-02;8.0056850858882270e-02;8.1008711266528066e-01;7.8496727434614133e-01;8.3265095357245833e-01;2.7255812124688871e-02;-4.2066405429116993e-02;1.0583054880094184e-01;1.6366673226262718e-01;9.8064242448538355e-02;2.2406986200242021e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;6.0000000000000000e+00;1.1125570048379586e-02;-6.1085644883251002e-02;8.2610199043176555e-02;8.2917848363543634e-01;8.0881813040944361e-01;8.5035446994729325e-01;2.6312125826826970e-02;-4.4814278456474940e-02;9.6275094264491892e-02;1.4948021989063190e-01;7.8927098122557077e-02;2.2029329271309131e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;6.0000000000000000e+00;1.6296474470959440e-02;-5.8593115994313036e-02;9.8272573993557238e-02;8.4332786878362331e-01;8.2206082252005863e-01;8.5972329046199947e-01;2.0133937903372100e-02;-5.8273815755111098e-02;9.8680457968489510e-02;1.4411350851030216e-01;7.2849689554789543e-02;2.2683309721541373e-01
