"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;6.0000000000000000e+00;2.2890000000000001e-02;-5.8209999999999998e-02;9.3420000000000003e-02;1.1070000000000000e-02;-7.0300000000000001e-02;7.9490000000000005e-02;4.1279999999999997e-02;-3.4709999999999998e-02;1.0814000000000000e-01;9.3072999999999995e-01;9.1622999999999999e-01;9.4245000000000001e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;6.0000000000000000e+00;1.5430748081741349e-02;6.4595074101444728e-03;2.5641306649287748e-02;1.2464878616009593e-02;3.3036198481501172e-03;2.2455502000537912e-02;3.5457002824059433e-02;2.5980888086803117e-02;4.5668952919764368e-02;9.3735444125306755e-01;9.3573345852160994e-01;9.3871699413991339e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;6.0000000000000000e+00;1.6855171401733624e-02;7.4121267681933837e-03;2.5403564941375446e-02;7.0139385518884836e-03;-2.3576411967859241e-03;1.5771988340442428e-02;3.4096752045876096e-02;2.4566051762165801e-02;4.2664809601053226e-02;9.4400017558630833e-01;9.4263868288131880e-01;9.4526863865935340e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;6.0000000000000000e+00;1.8297987878981306e-02;6.5891606763723168e-03;2.9458159451825124e-02;8.5197064716227566e-03;-3.7203360335220518e-03;1.9424000105046805e-02;3.6676472144115117e-02;2.4531702178068573e-02;4.7564598131737260e-02;9.3648397381241522e-01;9.3508120273684070e-01;9.3820804888814602e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;6.0000000000000000e+00;1.1909042919240052e-02;-6.2879321748346692e-02;8.8311264179924215e-02;2.1772288685535154e-03;-7.0118649381608708e-02;7.6835739463399194e-02;2.7046565392993056e-02;-4.3496394100435029e-02;1.0841003693145640e-01;9.3335209146038178e-01;9.2362399452440025e-01;9.4268143243906344e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;6.0000000000000000e+00;1.9208882969946078e-02;-5.4931164031681537e-02;8.9591171418681906e-02;3.2467655657429711e-03;-7.1268324067715771e-02;7.3983204710614064e-02;2.9591233846409607e-02;-3.8960627497460834e-02;1.0010958497048589e-01;9.4225826061300166e-01;9.3148883104321900e-01;9.5061089589200320e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;6.0000000000000000e+00;2.1739270516811095e-02;-5.6559251470530106e-02;9.5964699300030654e-02;8.3307389974471534e-03;-7.0273238678706829e-02;8.2017156486457590e-02;3.5421339353365291e-02;-4.4185544629289024e-02;1.0926910385808736e-01;9.3397567694055683e-01;9.2266611638713592e-01;9.4409116543170180e-01
