"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;3.0000000000000000e+01;1.1000000000000000e+01;1.7000000000000000e+01;-1.0000000000000000e+00;9.9669999999999995e-02;3.2250000000000001e-02;1.6597999999999999e-01;8.2438000000000000e-01;8.0169999999999997e-01;8.4697000000000000e-01;-3.6069999999999998e-02;-1.0670000000000000e-01;4.1930000000000002e-02;-2.6460000000000001e-02;-1.0051000000000000e-01;5.5960000000000003e-02
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;3.0000000000000000e+01;1.1000000000000000e+01;1.7000000000000000e+01;9.0681461302720101e-01;1.3296145935562889e-01;1.2321157280841033e-01;1.4422760728425479e-01;8.5949296803801289e-01;8.5707609030102117e-01;8.6164592452017608e-01;1.0290596821407494e-03;-7.9883786256742927e-03;1.1665564729345049e-02;1.3006500004582038e-03;-7.6380355941567633e-03;1.1833508349654770e-02
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;3.0000000000000000e+01;1.1000000000000000e+01;1.7000000000000000e+01;9.0681461302720101e-01;1.4437664098974387e-01;1.3407272782853807e-01;1.5404852203817931e-01;8.4697449653831336e-01;8.4419689553060051e-01;8.4972882666548089e-01;1.0034794273472140e-05;-1.0078666241901593e-02;9.0772700803273768e-03;2.6687316729301744e-03;-7.4301317264084477e-03;1.1878575097064456e-02
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;3.0000000000000000e+01;1.1000000000000000e+01;1.7000000000000000e+01;9.0681461302720101e-01;1.5899030410567036e-01;1.4930742004014641e-01;1.6949383956866260e-01;8.2797837802298657e-01;8.2471089873448822e-01;8.3150455066998707e-01;7.2769957931077345e-04;-8.7577075161996490e-03;1.0753541940022811e-02;8.3683154195462652e-03;-1.1053946327817560e-03;1.8618542745021671e-02
