"meta";"N_LHS";"size";"kl_dimension";"N_KL_Young";"N_KL_Diam";"R2";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;2.0000000000000000e+01;8.0000000000000000e+00;1.0000000000000000e+01;-1.0000000000000000e+00;2.8394000000000003e-01;2.2758999999999999e-01;3.5088999999999998e-01;2.1079000000000001e-01;1.5148000000000000e-01;2.7289999999999998e-01;4.6200000000000000e-03;-5.7630000000000001e-02;7.3609999999999995e-02;4.8474000000000000e-01;4.2775999999999997e-01;5.3971000000000002e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;2.0000000000000000e+01;8.0000000000000000e+00;1.0000000000000000e+01;8.5852249182088103e-01;2.6724263381823898e-01;2.5768522562743834e-01;2.7721764202609578e-01;2.3850904782185670e-01;2.2843285611438988e-01;2.4856244352493123e-01;-2.4018579614067401e-03;-1.4248408066573117e-02;8.6837759485380653e-03;4.6061121879910105e-01;4.5237311774271521e-01;4.6973206507298837e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;2.0000000000000000e+01;8.0000000000000000e+00;1.0000000000000000e+01;8.5852249182088103e-01;2.9362984473552467e-01;2.8554777800052633e-01;3.0326282433892648e-01;2.1810098382325938e-01;2.0820978231585577e-01;2.2876557097634481e-01;-1.9385420461391920e-03;-1.0661695516662467e-02;9.3291247603627999e-03;4.7261988159731738e-01;4.6561914340277166e-01;4.8004113169744966e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;2.0000000000000000e+01;8.0000000000000000e+00;1.0000000000000000e+01;8.5852249182088103e-01;3.2707515898297806e-01;3.1834376018277916e-01;3.3577367093278176e-01;2.2078425433455751e-01;2.1075799494328074e-01;2.2938846951006558e-01;-2.0346137767947199e-03;-1.1517625672027593e-02;8.6749184617184848e-03;4.4229586210964522e-01;4.3381049542050121e-01;4.5087770758606843e-01
