"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;7.0000000000000000e+00;1.4324999999999999e-01;7.2800000000000004e-02;2.2499000000000000e-01;9.0115000000000001e-01;8.8705999999999996e-01;9.1388000000000003e-01;6.0449999999999997e-02;-6.2800000000000000e-03;1.3602000000000000e-01;7.2520000000000001e-02;4.0400000000000002e-03;1.4953000000000000e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;7.0000000000000000e+00;7.1864182465240234e-02;6.0742039880521341e-02;8.2723288040178589e-02;9.1916304136785743e-01;9.1774313428713816e-01;9.2043616359934022e-01;2.5904934075075617e-03;-9.0992099772363721e-03;1.3789499554077997e-02;8.7244029360141456e-03;-2.7340928119671060e-03;1.9726530502881586e-02
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;7.0000000000000000e+00;7.7623560692189536e-02;6.7243520727081660e-02;8.8164133562104396e-02;9.1196124153115954e-01;9.0982805746138284e-01;9.1391607571128242e-01;1.7164204404734999e-03;-7.8741330650868094e-03;1.2643569054830266e-02;1.0633818599063174e-02;1.0481554889736362e-03;2.1279819430947349e-02
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;7.0000000000000000e+00;8.2460502519837844e-02;7.2725951887235338e-02;9.2245715114148794e-02;9.0849418913816804e-01;9.0662986525596767e-01;9.1033766930060434e-01;1.2850483664380297e-03;-7.2185276248723212e-03;1.0678161760440057e-02;9.5794826999505527e-03;1.1515400342762760e-03;1.8785474940026432e-02
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;7.0000000000000000e+00;1.3609505732481086e-01;5.1675766706760023e-02;2.0937269511988724e-01;9.1809029657638219e-01;9.0689710068164164e-01;9.2835144525596425e-01;6.0041295961518033e-02;-2.5496787834184374e-02;1.3977801717841126e-01;6.9779210162253094e-02;-1.5140531426721619e-02;1.4834141085451619e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;7.0000000000000000e+00;1.3236086232311256e-01;6.2792940381211818e-02;2.0173320080877705e-01;9.1062051407908984e-01;8.9817118635784243e-01;9.2272072942031191e-01;5.5918346195624330e-02;-2.0398626751851653e-02;1.3120622792660699e-01;6.8393779810631064e-02;-7.6216355350000788e-03;1.4346649266723990e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;7.0000000000000000e+00;1.3913603126673219e-01;6.5878012067373162e-02;2.1024227316871197e-01;9.0708121731332991e-01;8.9837467627739709e-01;9.1889799893329160e-01;5.8168031737374559e-02;-1.6844677841696670e-02;1.3871170431628876e-01;6.7766163526347414e-02;-6.1844956808768574e-03;1.4817169698670948e-01
