"meta";"N_LHS";"size";"kl_dimension";"SI_E";"SI_E_lb";"SI_E_ub";"SI_D";"SI_D_lb";"SI_D_ub";"SI_FP";"SI_FP_lb";"SI_FP_ub";"SI_FN";"SI_FN_lb";"SI_FN_ub"
0.0000000000000000e+00;-1.0000000000000000e+00;1.0000000000000000e+03;6.0000000000000000e+00;1.8401000000000001e-01;1.1673000000000000e-01;2.5151000000000001e-01;4.9847999999999998e-01;4.3276999999999999e-01;5.5411999999999995e-01;3.7949999999999998e-02;-4.0610000000000000e-02;1.1413000000000000e-01;3.1513999999999998e-01;2.5412000000000001e-01;3.7586999999999998e-01
1.0000000000000000e+00;2.5000000000000000e+01;5.0000000000000000e+04;6.0000000000000000e+00;1.5446486385811800e-01;1.4557969061605769e-01;1.6448691136485086e-01;4.7655346902635692e-01;4.6944689241628779e-01;4.8413951811157602e-01;3.3108499348203223e-02;2.3109187447222870e-02;4.4012492859243253e-02;3.3533783887218976e-01;3.2640309229841979e-01;3.4405075265720597e-01
1.0000000000000000e+00;5.0000000000000000e+01;5.0000000000000000e+04;6.0000000000000000e+00;1.7576925873706686e-01;1.6718277602210008e-01;1.8376288937931223e-01;4.6836417354056092e-01;4.5957064265635339e-01;4.7620619053186369e-01;3.4640447540580960e-02;2.5061922387739317e-02;4.4700199146409339e-02;3.2187692010106367e-01;3.1315152417884551e-01;3.3073914114096631e-01
1.0000000000000000e+00;1.0000000000000000e+02;5.0000000000000000e+04;6.0000000000000000e+00;1.8181203684696373e-01;1.7277984360461135e-01;1.9056584369484264e-01;4.8333340261890906e-01;4.7531519966816888e-01;4.9118497203863831e-01;3.0729798870765761e-02;1.9925570859963930e-02;4.1784685726873244e-02;3.0276989203856147e-01;2.9409065851990024e-01;3.1208824297704785e-01
1.0000000000000000e+00;2.5000000000000000e+01;1.0000000000000000e+03;6.0000000000000000e+00;1.6238881342156272e-01;9.2426031359317790e-02;2.3871473322184744e-01;4.9644324163156139e-01;4.3767148584390958e-01;5.4908421035581723e-01;2.8848876228830696e-02;-4.6153612358944787e-02;1.0648810972233216e-01;3.3552026967495729e-01;2.6872889946980549e-01;3.9073831698335265e-01
1.0000000000000000e+00;5.0000000000000000e+01;1.0000000000000000e+03;6.0000000000000000e+00;1.8679323078044333e-01;1.1777515808631557e-01;2.5278291696060035e-01;4.9236375438121260e-01;4.3706728445420406e-01;5.4385959221547897e-01;2.9425492499577301e-02;-4.3389913637267193e-02;1.0298354620558303e-01;3.2692332008149300e-01;2.6012931408572654e-01;3.9859407907131761e-01
1.0000000000000000e+00;1.0000000000000000e+02;1.0000000000000000e+03;6.0000000000000000e+00;1.9311999463557195e-01;1.1906858280291649e-01;2.6363225070553287e-01;5.0614015449926042e-01;4.4567833810541652e-01;5.5700446852699437e-01;2.8242812191758594e-02;-5.2004196173439834e-02;1.0603815550342457e-01;3.1403871935366667e-01;2.4627907015761630e-01;3.8135168429787519e-01
